t(s),3.54,3.88,4.58,4.92,5.26,5.94,,
C(L),0.793,0.835,0.876,0.89,0.896,0.889,,
FL(mN),0.03965,0.04175,0.0438,0.0445,0.0448,0.04445,0.25895,0.043158333
,39.65,41.75,43.8,44.5,44.8,44.45,258.95,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,3.54,3.88,4.58,4.92,5.26,5.94,
,,0.793,0.835,0.876,0.89,0.896,0.889,
