#Parameters = {Mesh Pass=2}
#"X / mm"	"B-Field (Ms)_Abs (X) (Mesh Pass=2) [Real Part]"
#---------------------------------------------------------
-5.0000000000000	3.1190596953284e-10
-4.9000000000000	3.2720447265991e-10
-4.8000000000000	4.4801984110426e-10
-4.7000000000000	5.9011852944946e-10
-4.6000000000000	7.2117732585535e-10
-4.5000000000000	8.4072190603227e-10
-4.4000000000000	9.4862065243491e-10
-4.3000000000000	1.0448733579530e-09
-4.2000000000000	1.1295494739661e-09
-4.1000000000000	1.2027644865605e-09
-4.0000000000000	1.2646788997501e-09
-3.9000000000000	1.3154959485114e-09
-3.8000000000000	1.3554714126028e-09
-3.7000000000000	1.3849215328032e-09
-3.6000000000000	1.4042409937744e-09
-3.5000000000000	1.4853629612714e-09
-3.4000000000000	1.5870564714796e-09
-3.3000000000000	1.6960846831946e-09
-3.2000000000000	1.8119768056951e-09
-3.1000000000000	2.0379567759783e-09
-3.0000000000000	2.3449688169388e-09
-2.9000000000000	2.7218240125752e-09
-2.8000000000000	3.1588104341063e-09
-2.7000000000000	3.6486753407854e-09
-2.6000000000000	4.1863478231243e-09
-2.5000000000000	3.7306835827539e-09
-2.4000000000000	5.0236780379201e-09
-2.3000000000000	9.6512802587397e-09
-2.2000000000000	5.8766548295386e-09
-2.1000000000000	3.4271222815158e-09
-2.0000000000000	5.7732617077291e-09
-1.9000000000000	9.7497099781249e-09
-1.8000000000000	1.3978866841336e-08
-1.7000000000000	1.8319095356729e-08
-1.6000000000000	2.2793003047669e-08
-1.5000000000000	3.1854119956290e-06
-1.4000000000000	3.3818892713387e-05
-1.3000000000000	7.1665610399606e-05
-1.2000000000000	0.00011034664511087
-1.1000000000000	0.00014986207235390
-1.0000000000000	0.0010862479810308
-0.90000000000000	0.0012524491191903
-0.80000000000000	0.0014334317531999
-0.70000000000000	0.0016370569448071
-0.60000000000000	0.0019312664015092
-0.50000000000000	0.0022345265454567
-0.40000000000000	0.00031849222050958
-0.30000000000000	0.00023840390946898
-0.20000000000000	0.00015885182827543
-0.10000000000000	7.9425259223290e-05
0.0000000000000	4.7190691275263e-07
0.10000000000000	7.8820297544857e-05
0.20000000000000	0.00015782874309795
0.30000000000000	0.00023714553740936
0.40000000000000	0.00031721224629511
0.50000000000000	0.0021495684623962
0.60000000000000	0.0019076273051157
0.70000000000000	0.0016788841504916
0.80000000000000	0.0014623051286210
0.90000000000000	0.0012592420120512
1.0000000000000	0.00020237693021094
1.1000000000000	0.00015576186500264
1.2000000000000	0.00011170847212706
1.3000000000000	7.0089745425350e-05
1.4000000000000	3.1151157425904e-05
1.5000000000000	5.7290746119698e-08
1.6000000000000	5.8552226687053e-08
1.7000000000000	5.4628612390852e-08
1.8000000000000	5.0317411576745e-08
1.9000000000000	4.6822552497978e-08
2.0000000000000	4.4030620753076e-08
2.1000000000000	4.1804278012856e-08
2.2000000000000	3.9992419931008e-08
2.3000000000000	3.5639347058999e-08
2.4000000000000	2.7480986759841e-08
2.5000000000000	1.9828439061096e-08
2.6000000000000	1.2627657957601e-08
2.7000000000000	5.8271102714027e-09
2.8000000000000	1.0045844475990e-09
2.9000000000000	2.7582849119504e-09
3.0000000000000	1.9955810272572e-09
3.1000000000000	1.2060697010391e-09
3.2000000000000	5.0650173691760e-10
3.3000000000000	8.0865164571130e-10
3.4000000000000	1.1121012774973e-09
3.5000000000000	1.5490474711717e-09
3.6000000000000	1.5497006320584e-09
3.7000000000000	1.3841019197131e-09
3.8000000000000	1.1567126694246e-09
3.9000000000000	9.5941991948686e-10
4.0000000000000	8.3754081024177e-10
4.1000000000000	7.9449526899545e-10
4.2000000000000	8.1708418487227e-10
4.3000000000000	9.1176921968624e-10
4.4000000000000	1.0129532979802e-09
4.5000000000000	1.0915511767062e-09
4.6000000000000	1.1336457865839e-09
4.7000000000000	1.1325551881061e-09
4.8000000000000	1.0852048531751e-09
4.9000000000000	9.9081671320065e-10
5.0000000000000	8.5113137454625e-10
