#
#"X / mm"	"B-Field (Ms)_Abs (X) [Real Part]"
#-------------------------------------------
-8.0000000000000	7.3221203932449e-05
-7.8750000000000	7.4081349825349e-05
-7.7500000000000	7.4967191438667e-05
-7.6250000000000	7.5878701097968e-05
-7.5000000000000	7.6815866008700e-05
-7.3750000000000	7.7778673893376e-05
-7.2500000000000	7.8767105469079e-05
-7.1250000000000	7.9781171070711e-05
-7.0000000000000	8.0820859559410e-05
-6.8750000000000	8.1886131197018e-05
-6.7500000000000	8.2976997590835e-05
-6.6250000000000	8.4093441700683e-05
-6.5000000000000	8.5235468759623e-05
-6.3750000000000	8.6403048063345e-05
-6.2500000000000	8.7596178466926e-05
-6.1250000000000	8.8814866529912e-05
-6.0000000000000	9.0048415746492e-05
-5.8750000000000	9.1272374277575e-05
-5.7500000000000	9.3662378155028e-05
-5.6250000000000	9.6216840064292e-05
-5.5000000000000	9.8809023895529e-05
-5.3750000000000	0.00010143899969304
-5.2500000000000	0.00010410693146540
-5.1250000000000	0.00010681303240231
-5.0000000000000	0.00010955753541304
-4.8750000000000	0.00011234075183477
-4.7500000000000	0.00011516301460876
-4.6250000000000	0.00011815634717567
-4.5000000000000	0.00012152690648065
-4.3750000000000	0.00012520630963677
-4.2500000000000	0.00012944041317367
-4.1250000000000	0.00013372130938270
-4.0000000000000	0.00013804901578668
-3.8750000000000	0.00014242352173624
-3.7500000000000	0.00014684490037779
-3.6250000000000	0.00015131320276182
-3.5000000000000	0.00015582851303589
-3.3750000000000	0.00016069357087273
-3.2500000000000	0.00016572659032348
-3.1250000000000	0.00017088511763753
-3.0000000000000	0.00017616944289302
-2.8750000000000	0.00018157983552833
-2.7500000000000	0.00019154545605204
-2.6250000000000	0.00020414650810482
-2.5000000000000	0.00021739355209990
-2.3750000000000	0.00023128635386295
-2.2500000000000	0.00024582453133911
-2.1250000000000	0.00026100807835252
-2.0000000000000	0.00027683689075543
-1.8750000000000	0.00029331100891110
-1.7500000000000	0.00031043048722328
-1.6250000000000	0.00032819538148713
-1.5000000000000	0.00034660582759758
-1.3750000000000	0.00028018470826194
-1.2500000000000	0.00018964536178936
-1.1250000000000	9.5521223442888e-05
-1.0000000000000	3.6833924914727e-06
-0.87500000000000	6.3419707915744e-07
-0.75000000000000	5.2271728900037e-07
-0.62500000000000	4.2642430644184e-07
-0.50000000000000	3.4393112271310e-07
-0.37500000000000	2.7291083266502e-07
-0.25000000000000	2.1096345379125e-07
-0.12500000000000	1.5495173957150e-07
0.0000000000000	1.0700226842051e-07
0.12500000000000	1.3281880575925e-07
0.25000000000000	1.0583512771016e-07
0.37500000000000	1.1050730738935e-07
0.50000000000000	1.4471356530766e-07
0.62500000000000	2.0536483798993e-07
0.75000000000000	2.9861740290826e-07
0.87500000000000	4.2603861127456e-07
1.0000000000000	3.5093621079946e-06
1.1250000000000	9.4345848954700e-05
1.2500000000000	0.00018864648152604
1.3750000000000	0.00027948909230586
1.5000000000000	0.00034981445866540
1.6250000000000	0.00032875889612783
1.7500000000000	0.00031005241430483
1.8750000000000	0.00029195230196175
2.0000000000000	0.00027449635771208
2.1250000000000	0.00025766096916181
2.2500000000000	0.00024133955479276
2.3750000000000	0.00022554941268684
2.5000000000000	0.00021077274866607
2.6250000000000	0.00020185074616724
2.7500000000000	0.00019318103447404
2.8750000000000	0.00018706899524632
3.0000000000000	0.00018150311054714
3.1250000000000	0.00017604848283226
3.2500000000000	0.00017009871684690
3.3750000000000	0.00016382929565928
3.5000000000000	0.00015786256772170
3.6250000000000	0.00015219803351282
3.7500000000000	0.00014683521877856
3.8750000000000	0.00014177376187867
4.0000000000000	0.00013714786928325
4.1250000000000	0.00013283383053104
4.2500000000000	0.00012873151991340
4.3750000000000	0.00012484083599967
4.5000000000000	0.00012116165036513
4.6250000000000	0.00011769386825423
4.7500000000000	0.00011443735854437
4.8750000000000	0.00011140593587948
5.0000000000000	0.00010854839394520
5.1250000000000	0.00010579967436524
5.2500000000000	0.00010315966188601
5.3750000000000	0.00010062837457418
5.5000000000000	9.8205849439426e-05
5.6250000000000	9.5892239289056e-05
5.7500000000000	9.3687778572452e-05
5.8750000000000	9.2122874678427e-05
6.0000000000000	9.0686341610364e-05
6.1250000000000	8.9272540118404e-05
6.2500000000000	8.7881552898063e-05
6.3750000000000	8.6513438625029e-05
6.5000000000000	8.5168246745537e-05
6.6250000000000	8.3846054135878e-05
6.7500000000000	8.2546936252503e-05
6.8750000000000	8.1406456851020e-05
7.0000000000000	8.0348598805605e-05
7.1250000000000	7.9302564929433e-05
7.2500000000000	7.8268399951285e-05
7.3750000000000	7.7246136513490e-05
7.5000000000000	7.6235816818203e-05
7.6250000000000	7.5354308126287e-05
7.7500000000000	7.4513584458017e-05
7.8750000000000	7.3690156810714e-05
8.0000000000000	7.2883931370644e-05
