#Parameters = {Mesh Pass=2}
#"X / mm"	"H-Field (Ms)_Abs (X) (Mesh Pass=2) [Real Part]"
#---------------------------------------------------------
-5.0000000000000	0.00024820687243243
-4.9000000000000	0.00026038103378545
-4.8000000000000	0.00035652290157556
-4.7000000000000	0.00046960141061148
-4.6000000000000	0.00057389464209884
-4.5000000000000	0.00066902518405370
-4.4000000000000	0.00075488834514434
-4.3000000000000	0.00083148396105294
-4.2000000000000	0.00089886701415950
-4.1000000000000	0.00095712959346927
-4.0000000000000	0.0010063993977346
-3.9000000000000	0.0010468385201321
-3.8000000000000	0.0010786498779497
-3.7000000000000	0.0011020855783224
-3.6000000000000	0.0011174594873863
-3.5000000000000	0.0011820142323646
-3.4000000000000	0.0012629393519515
-3.3000000000000	0.0013497013338720
-3.2000000000000	0.0014419253140374
-3.1000000000000	0.0016217547147296
-3.0000000000000	0.0018660670669052
-2.9000000000000	0.0021659587772897
-2.8000000000000	0.0025137015716804
-2.7000000000000	0.0029035236702721
-2.6000000000000	0.0033313897942047
-2.5000000000000	0.0029687839993637
-2.4000000000000	0.0039977160790062
-2.3000000000000	0.0076802441880677
-2.2000000000000	0.0046764928616660
-2.1000000000000	0.0027272167094616
-2.0000000000000	0.0045942152351218
-1.9000000000000	0.0077585733754647
-1.8000000000000	0.011124028735054
-1.7000000000000	0.014577872850938
-1.6000000000000	0.018138093360001
-1.5000000000000	2.5348699484275
-1.4000000000000	26.912214645533
-1.3000000000000	57.029677385998
-1.2000000000000	87.811075753477
-1.1000000000000	119.25645672279
-1.0000000000000	151.65065177559
-0.90000000000000	174.85392783419
-0.80000000000000	200.12084964323
-0.70000000000000	228.54887518977
-0.60000000000000	269.62338567267
-0.50000000000000	311.96138086673
-0.40000000000000	253.44804501077
-0.30000000000000	189.71580564868
-0.20000000000000	126.41027366244
-0.10000000000000	63.204613195364
0.0000000000000	0.37553087052026
0.10000000000000	62.723203092857
0.20000000000000	125.59611893988
0.30000000000000	188.71442201248
0.40000000000000	252.42947173000
0.50000000000000	300.10042405957
0.60000000000000	266.32311181295
0.70000000000000	234.38836700490
0.80000000000000	204.15184152877
0.90000000000000	175.80226546190
1.0000000000000	161.04646069584
1.1000000000000	123.95135183645
1.2000000000000	88.894777918339
1.3000000000000	55.775644574749
1.4000000000000	24.789304866560
1.5000000000000	0.045590525460945
1.6000000000000	0.046594387565937
1.7000000000000	0.043472069259783
1.8000000000000	0.040041318899883
1.9000000000000	0.037260200737371
2.0000000000000	0.035038455159388
2.1000000000000	0.033266785919592
2.2000000000000	0.031824956808765
2.3000000000000	0.028360889522954
2.4000000000000	0.021868675968754
2.5000000000000	0.015778969899632
2.6000000000000	0.010048771072779
2.7000000000000	0.0046370684076294
2.8000000000000	0.00079942250741747
2.9000000000000	0.0021949733475350
3.0000000000000	0.0015880330207375
3.1000000000000	0.00095975981647642
3.2000000000000	0.00040306123293192
3.3000000000000	0.00064350457460072
3.4000000000000	0.00088498201058598
3.5000000000000	0.0012326928792197
3.6000000000000	0.0012332125681053
3.7000000000000	0.0011014332165504
3.8000000000000	0.00092048267370940
3.9000000000000	0.00076348203249019
4.0000000000000	0.00066649376903629
4.1000000000000	0.00063223919042950
4.2000000000000	0.00065021493262167
4.3000000000000	0.00072556290684284
4.4000000000000	0.00080608270988818
4.5000000000000	0.00086862883822343
4.6000000000000	0.00090212668671104
4.7000000000000	0.00090125892168576
4.8000000000000	0.00086357862361233
4.9000000000000	0.00078846690439344
5.0000000000000	0.00067730894106081
