Date,Adj Close
2010/1/4,65.26796722
2010/1/5,65.91125488
2010/1/6,66.06564331
2010/1/7,65.85979462
2010/1/8,66.00131989
2010/1/11,66.02703857
2010/1/12,64.3416214
2010/1/13,64.05859375
2010/1/14,63.85273361
2010/1/15,65.03637695
2010/1/18,64.47028351
2010/1/19,64.30303955
2010/1/20,63.58255768
2010/1/21,62.91353607
2010/1/22,64.0971756
2010/1/25,65.6410675
2010/1/27,65.84692383
2010/1/28,65.42234802
2010/1/29,64.36734772
2010/2/1,63.42816544
2010/2/2,62.88780594
2010/2/3,64.99778748
2010/2/4,65.19078064
2010/2/5,63.90419388
2010/2/8,63.13224411
2010/2/9,62.75914764
2010/2/10,62.75914764
2010/2/11,63.59542465
2010/2/15,64.16152191
2010/2/16,64.36734772
2010/2/17,64.77907562
2010/2/18,63.87846375
2010/2/19,63.94279861
2010/2/22,63.71120453
2010/2/23,64.13578796
2010/2/24,63.72408676
2010/2/25,63.71120453
2010/2/26,59.76142883
2010/3/2,62.25737
2010/3/3,62.70768356
2010/3/4,63.31237411
2010/3/5,62.97786331
2010/3/8,64.65040588
2010/3/9,64.59895325
2010/3/10,65.42234802
2010/3/11,65.7826004
2010/3/12,66.5030899
2010/3/15,66.73465729
2010/3/16,66.85046387
2010/3/17,67.63525391
2010/3/18,67.22357941
2010/3/19,67.23642731
2010/3/22,67.31362152
2010/3/23,67.14635468
2010/3/25,68.12416077
2010/3/26,68.03410339
2010/3/29,69.26921844
2010/3/30,69.17915344
2010/3/31,67.6867218
2010/4/1,67.93117523
2010/4/5,68.13703918
2010/4/6,68.51012421
2010/4/7,69.3335495
2010/4/8,68.89610291
2010/4/9,69.28209686
2010/4/12,69.83530426
2010/4/13,69.11484528
2010/4/15,67.60953522
2010/4/16,69.2434845
2010/4/19,68.14989471
2010/4/20,67.72532654
2010/4/21,67.53233337
2010/4/22,67.99549866
2010/4/23,68.69026184
2010/4/26,68.80604553
2010/4/27,69.35927582
2010/4/28,69.46220398
2010/4/29,68.74172211
2010/4/30,68.40721893
2010/5/3,68.17562103
2010/5/4,67.4937439
2010/5/5,67.45513916
2010/5/6,66.6574707
2010/5/7,66.68320465
2010/5/10,67.36508179
2010/5/11,66.78611755
2010/5/12,68.20134735
2010/5/13,68.57447052
2010/5/14,68.99903107
