#Parameters = {Mesh Pass=4}
#"X / mm"	"E-Field (Es)_Abs (X) (Mesh Pass=4) [Real Part]"
#---------------------------------------------------------
0.0000000000000	0.0000000000000
0.45871559633028	0.0000000000000
0.91743119266055	0.0000000000000
1.3761467889908	0.0000000000000
1.8348623853211	0.0000000000000
2.2935779816514	0.0000000000000
2.7522935779817	0.0000000000000
3.2110091743119	0.0000000000000
3.6697247706422	0.0000000000000
4.1284403669725	0.0000000000000
4.5871559633028	0.0000000000000
5.0458715596330	0.0000000000000
5.5045871559633	0.0000000000000
5.9633027522936	0.0000000000000
6.4220183486239	0.0000000000000
6.8807339449541	0.0000000000000
7.3394495412844	0.0000000000000
7.7981651376147	0.0000000000000
8.2568807339450	0.0000000000000
8.7155963302752	0.0000000000000
9.1743119266055	0.0000000000000
9.6330275229358	0.0000000000000
10.091743119266	21283001926466.
10.550458715596	19944273368959.
11.009174311927	18613485542814.
11.467889908257	17357732988846.
11.926605504587	16119327262010.
12.385321100917	14905634150826.
12.844036697248	13680906483819.
13.302752293578	12560652391234.
13.761467889908	11987284529047.
14.220183486239	11378663213552.
14.678899082569	10753402566421.
15.137614678899	10128149038572.
15.596330275229	9500887689381.8
16.055045871560	8864658930065.1
16.513761467890	8228485137142.2
16.972477064220	7605715463739.4
17.431192660550	7213059240169.1
17.889908256881	6820626482143.7
18.348623853211	6428459880288.4
18.807339449541	6141496297092.9
19.266055045872	5923032140371.7
19.724770642202	5706364504353.1
20.183486238532	5515511779554.3
20.642201834862	5324695846626.3
21.100917431193	5133920227107.5
21.559633027523	4943189063629.7
22.018348623853	4752508819148.1
22.477064220183	4561885289542.8
22.935779816514	4371325894435.2
23.394495412844	4180839403399.2
23.853211009174	4000400272984.7
24.311926605505	3835473473319.9
24.770642201835	3670551604937.5
25.229357798165	3505633717111.0
25.688073394495	3340722651874.2
26.146788990826	3178030346969.3
26.605504587156	3095964900437.2
27.064220183486	3013268595694.3
27.522935779817	2930576329007.6
27.981651376147	2847888189775.8
28.440366972477	2765205096380.4
28.899082568807	2682527228684.2
29.357798165138	2599855085398.9
29.816513761468	2517188968401.9
30.275229357798	2434530042637.0
30.733944954128	2351093842666.9
31.192660550459	2295591681494.3
31.651376146789	2240686354352.2
32.110091743119	2186035921085.7
32.568807339450	2131112983696.1
33.027522935780	2076224919128.7
33.486238532110	2021307214946.6
33.944954128440	1966147619494.0
34.403669724771	1911025101656.3
34.862385321101	1859583507531.9
35.321100917431	1809094677174.7
35.779816513761	1758668079037.5
36.238532110092	1709446841134.3
36.697247706422	1659809585807.5
37.155963302752	6431014406146.2
37.614678899083	6311326641950.2
38.073394495413	6189940440201.0
38.532110091743	6065973887729.6
38.990825688073	5939964654041.9
39.449541284404	5813868192891.1
39.908256880734	5685693763936.2
40.366972477064	5557325751300.6
40.825688073394	5432263936115.8
41.284403669725	5295590919245.6
41.743119266055	5153520910476.3
42.201834862385	5011469803704.0
42.660550458716	4869443113806.3
43.119266055046	4727440268077.2
43.577981651376	4585466212047.8
44.036697247706	4469009597687.6
44.495412844037	4405713659082.6
44.954128440367	4342473417364.2
45.412844036697	4279291056157.7
45.871559633028	4216168903201.2
46.330275229358	4153108917912.5
46.788990825688	4090115845966.3
47.247706422018	4019067971707.8
47.706422018349	3945270320755.7
48.165137614679	3871488976866.2
48.623853211009	3797725693483.7
49.082568807339	3723980463324.3
49.541284403670	3650255198921.8
50.000000000000	3566403002867.3
