#Parameters = {Mesh Pass=2}
#"Z / mm"	"E-Field (Es)_Abs (Z) (Mesh Pass=2) [Real Part]"
#---------------------------------------------------------
0.0000000000000	4.8508604007063e+14
0.27522935779817	4.7178937610266e+14
0.55045871559633	4.5849272605317e+14
0.82568807339450	4.4523652871128e+14
1.1009174311927	4.3197646580755e+14
1.3761467889908	4.1874457145675e+14
1.6513761467890	4.0558644030552e+14
1.9266055045872	3.9254572280975e+14
2.2018348623853	3.7971489439725e+14
2.4770642201835	3.6754382239998e+14
2.7522935779817	3.5537378962112e+14
3.0275229357798	3.4320487308420e+14
3.3027522935780	3.3157188351307e+14
3.5779816513761	3.2076885897266e+14
3.8532110091743	3.0996914576025e+14
4.1284403669725	2.9794399113362e+14
4.4036697247706	2.8563547799610e+14
4.6788990825688	2.7332918085518e+14
4.9541284403670	2.6102541325537e+14
5.2293577981651	2.4900736908244e+14
5.5045871559633	2.4073693977297e+14
5.7798165137615	2.3439161420765e+14
6.0550458715596	2.2826952638032e+14
6.3302752293578	2.2215874339364e+14
6.6055045871560	2.1605178861733e+14
6.8807339449541	2.0994897837578e+14
7.1559633027523	2.0385065084220e+14
7.4311926605505	1.9775727437624e+14
7.7064220183486	1.9166930256526e+14
7.9816513761468	1.8558728441077e+14
8.2568807339450	1.7909052761223e+14
8.5321100917431	1.7249111749317e+14
8.8073394495413	1.6427285161402e+14
9.0825688073395	1.5606452403514e+14
9.3577981651376	1.4786780956162e+14
9.6330275229358	1.4305990945552e+14
9.9082568807339	1.3981785185823e+14
10.183486238532	1.3657833255960e+14
10.458715596330	1.3334151914144e+14
10.733944954128	1.3010763100058e+14
11.009174311927	1.2687687443780e+14
11.284403669725	1.2364950378608e+14
11.559633027523	1.2042580822520e+14
11.834862385321	1.1720604755374e+14
12.110091743119	1.1399059950997e+14
12.385321100917	1.1077982944648e+14
12.660550458716	1.0749402447972e+14
12.935779816514	1.0359000417693e+14
13.211009174312	99943512497977.
13.486238532110	96344903315886.
13.761467889908	92752079017457.
14.036697247706	89165711801471.
14.311926605505	85586622730052.
14.587155963303	82606115263967.
14.862385321101	79732269914933.
15.137614678899	78618528038737.
15.412844036697	77654723338081.
15.688073394495	76697569838311.
15.963302752294	75743750934230.
16.238532110092	74793377169063.
16.513761467890	73813269804488.
16.788990825688	72825117283071.
17.064220183486	71836985927267.
17.339449541284	70848885254506.
17.614678899083	69860812442111.
17.889908256881	68872781430622.
18.165137614679	67878858729271.
18.440366972477	66842701252300.
18.715596330275	65806566744298.
18.990825688073	64770473599880.
19.266055045872	63734414948361.
19.541284403670	62698388337733.
19.816513761468	61662408161089.
20.091743119266	60626459598574.
20.366972477064	59590553149186.
20.642201834862	58554695191258.
20.917431192661	57518888164968.
21.192660550459	56483117831484.
21.467889908257	55447407945180.
21.743119266055	54411748899430.
22.018348623853	53376152281511.
22.293577981651	52340621545315.
22.568807339450	51305147829885.
22.844036697248	50269747784776.
23.119266055046	49234417369236.
23.394495412844	48199169777172.
23.669724770642	47164001737902.
23.944954128440	46128923161688.
24.220183486239	45093944324987.
24.495412844037	44059067829659.
24.770642201835	43024305205108.
25.045871559633	41989647801875.
25.321100917431	40955125535259.
25.596330275229	39833604704759.
25.871559633028	38711689270023.
26.146788990826	37589973875715.
26.422018348624	36468485630786.
26.697247706422	35347233229154.
26.972477064220	34226261640414.
27.247706422018	33105575099693.
27.522935779817	31985225551120.
27.798165137615	30865235978562.
28.073394495413	29745638935428.
28.348623853211	28626502687054.
28.623853211009	27748217751674.
28.899082568807	27352781319419.
29.174311926606	26923531977526.
29.449541284404	26404517057190.
29.724770642202	25886794391050.
30.000000000000	25370458299642.
