#Parameters = {Mesh Pass=2}
#"X / mm"	"D-Field (Es)_Abs (X) (Mesh Pass=2) [Real Part]"
#---------------------------------------------------------
-40.000000000000	0.0026108951943597
-39.238095238095	0.0027720754757214
-38.476190476190	0.0029341526009021
-37.714285714286	0.0030969846518885
-36.952380952381	0.0032604606918064
-36.190476190476	0.0034244861511772
-35.428571428571	0.0035889873968593
-34.666666666667	0.0037539005775201
-33.904761904762	0.0039191745342589
-33.142857142857	0.0040847657379010
-32.380952380952	0.0042506367017501
-31.619047619048	0.0044167549688159
-30.857142857143	0.0045830949498983
-30.095238095238	0.0047496334023741
-29.333333333333	0.0049163492636682
-28.571428571429	0.0050832259723811
-27.809523809524	0.0052257621867405
-27.047619047619	0.0055709896676959
-26.285714285714	0.0058763219040557
-25.523809523810	0.0061832516091979
-24.761904761905	0.0064915513465017
-24.000000000000	0.0068815888791023
-23.238095238095	0.0074397907220442
-22.476190476190	0.0079980057984101
-21.714285714286	0.0085562331975524
-20.952380952381	0.0091144689652457
-20.190476190476	0.0096727142841603
-19.428571428571	218.38516618429
-18.666666666667	237.74562307776
-17.904761904762	257.23221451193
-17.142857142857	283.46103567088
-16.380952380952	312.26959937626
-15.619047619048	341.08461347367
-14.857142857143	375.91848371809
-14.095238095238	415.81106061449
-13.333333333333	459.07612852619
-12.571428571429	516.42277263791
-11.809523809524	604.24568414855
-11.047619047619	692.08138039216
-10.285714285714	779.92554187374
-9.5238095238095	0.0000000000000
-8.7619047619048	0.0000000000000
-8.0000000000000	0.0000000000000
-7.2380952380952	0.0000000000000
-6.4761904761905	0.0000000000000
-5.7142857142857	0.0000000000000
-4.9523809523810	0.0000000000000
-4.1904761904762	0.0000000000000
-3.4285714285714	0.0000000000000
-2.6666666666667	0.0000000000000
-1.9047619047619	0.0000000000000
-1.1428571428571	0.0000000000000
-0.38095238095238	0.0000000000000
0.38095238095238	0.0000000000000
1.1428571428571	0.0000000000000
1.9047619047619	0.0000000000000
2.6666666666667	0.0000000000000
3.4285714285714	0.0000000000000
4.1904761904762	0.0000000000000
4.9523809523809	0.0000000000000
5.7142857142857	0.0000000000000
6.4761904761905	0.0000000000000
7.2380952380952	0.0000000000000
8.0000000000000	0.0000000000000
8.7619047619048	0.0000000000000
9.5238095238095	0.0000000000000
10.285714285714	715.46349420772
11.047619047619	632.25606612248
11.809523809524	549.15302109744
12.571428571429	480.34585117687
13.333333333333	429.77786506116
14.095238095238	383.02663961874
14.857142857143	351.12259783933
15.619047619048	320.40862835180
16.380952380952	286.19054194548
17.142857142857	258.14492172599
17.904761904762	240.08714940793
18.666666666667	221.86173986488
19.428571428571	202.90515988942
20.190476190476	0.0094870966836347
20.952380952381	0.0088182350203437
21.714285714286	0.0081579462708809
22.476190476190	0.0075874716332596
23.238095238095	0.0070944873650278
24.000000000000	0.0068058182428842
24.761904761905	0.0065173000330759
25.523809523810	0.0062289556367864
26.285714285714	0.0059408073661135
27.047619047619	0.0056528882183421
27.809523809524	0.0053652320648485
28.571428571429	0.0050778866255845
29.333333333333	0.0047909047773700
30.095238095238	0.0045043595282586
30.857142857143	0.0041918683704187
31.619047619048	0.0038961822541726
32.380952380952	0.0035980571660507
33.142857142857	0.0032878044519474
33.904761904762	0.0032209055248301
34.666666666667	0.0031550073237026
35.428571428571	0.0030948601328936
36.190476190476	0.0030504984161249
36.952380952381	0.0029768179271236
37.714285714286	0.0028965885837804
38.476190476190	0.0028163600146276
39.238095238095	0.0027361327711843
40.000000000000	0.0026559062538944
