#
#"X / mm"	"E-Field (Es)_Abs (X) [Real Part]"
#-------------------------------------------
0.0000000000000	24530552233.957
0.36697247706422	1238501909897.4
0.73394495412844	2460314102333.8
1.1009174311927	3682267696840.7
1.4678899082569	4904231449805.2
1.8348623853211	6126050784062.3
2.2018348623853	7347626268443.4
2.5688073394495	8569177193170.3
2.9357798165138	9790729132418.0
3.3027522935780	11012206736975.
3.6697247706422	12233409007530.
4.0366972477064	13454613763925.
4.4036697247706	14675812506974.
4.7706422018349	15896193913374.
5.1376146788991	17115794594025.
5.5045871559633	18335507758517.
5.8715596330275	19555221047232.
6.2385321100917	20774779004532.
6.6055045871560	21992475046151.
6.9724770642202	23199859831447.
7.3394495412844	24407244801820.
7.7064220183486	25614634124962.
8.0733944954128	26823288275535.
8.4403669724771	28023834489985.
8.8073394495413	29231059486928.
9.1743119266055	30436492035807.
9.5412844036697	31640303168173.
9.9082568807339	32786978206966.
10.275229357798	84842011841575.
10.642201834862	79287001819736.
11.009174311927	73308744114851.
11.376146788991	67329086443755.
11.743119266055	64731711193719.
12.110091743119	62138640185439.
12.477064220183	59521949830355.
12.844036697248	56564035756939.
13.211009174312	53612557672076.
13.577981651376	50668632038446.
13.944954128440	47126370660545.
14.311926605505	43836660477474.
14.678899082569	40854371579450.
15.045871559633	38252259037470.
15.412844036697	36317322719955.
15.779816513761	35254450230857.
16.146788990826	34192717240455.
16.513761467890	33132250912849.
16.880733944954	32073169730094.
17.247706422018	31015600710249.
17.614678899083	29959728393471.
17.981651376147	28905729162003.
18.348623853211	27853809145293.
18.715596330275	26804215728414.
19.082568807339	25757239845762.
19.449541284404	24713209465270.
19.816513761468	23672510142247.
20.183486238532	22635606122798.
20.550458715596	21738808836560.
20.917431192661	20906371038889.
21.284403669725	20055781696292.
21.651376146789	19211739763388.
22.018348623853	18375150060126.
22.385321100917	17547081547286.
22.752293577982	16802359286738.
23.119266055046	16573337298128.
23.486238532110	16344328906729.
23.853211009174	16115330295704.
24.220183486239	15886338763386.
24.587155963303	15657361036809.
24.954128440367	15428392333259.
25.321100917431	15199436322402.
25.688073394495	14970491445126.
26.055045871560	14741560342949.
26.422018348624	14512643658142.
26.788990825688	14283739882986.
27.155963302752	14053542214968.
27.522935779817	13813681886547.
27.889908256881	13573837064341.
28.256880733945	13334005375414.
28.623853211009	13094191959081.
28.990825688073	12854398807796.
29.357798165138	12614622773724.
29.724770642202	12374868114038.
30.091743119266	12135134967638.
30.458715596330	11895424665985.
30.825688073394	11655738595387.
31.192660550459	11416077246324.
31.559633027523	11176444366086.
31.926605504587	10936841759949.
32.293577981651	10697267195681.
32.660550458716	10457730159960.
33.027522935780	10218224607783.
33.394495412844	9978758348317.0
33.761467889908	9739335253528.7
34.128440366972	9499954233481.9
34.495412844037	9260620812328.6
34.862385321101	9021341918239.6
35.229357798165	8782114418672.0
35.596330275229	8542951373345.5
35.963302752294	8303850636906.0
36.330275229358	8064820664847.7
36.697247706422	7825871638086.0
37.064220183486	7587005195178.9
37.431192660550	7348232196301.8
37.798165137615	7109564205666.5
38.165137614679	6871007700566.8
38.532110091743	6689944553792.3
38.899082568807	6544495755445.4
39.266055045872	6426475472744.2
39.633027522936	6310017572189.5
40.000000000000	6195209072908.3
